Player,POS,Team,FantasyPoints,VOR,VOR Rank
Ihmir Smith-Marsette,WR,MIN,11.27,-182.51,527
Jaelon Darden,WR,TB,10.8,-182.98,528
Diontae Spencer,WR,DEN,10.77,-183.01,529
Simi Fehoko,WR,DAL,10.76,-183.02,530
Greg Dortch,WR,ARI,10.59,-183.19,531
Cornell Powell,WR,KC,10.45,-183.33,532
Isaiah Hodgins,WR,BUF,10.19,-183.59,533
Riley Ridley,WR,CHI,10.14,-183.64,534
Tylan Wallace,WR,BAL,9.87,-183.91,535
Trent Sherfield,WR,SF,9.85,-183.93,536
Quez Watkins,WR,PHI,9.79,-183.99,537
Marcus Johnson,WR,TEN,9.76,-184.02,538
Chester Rogers,WR,TEN,9.5,-184.28,539
Trent Taylor,WR,CIN,9.1,-184.68,540
Gunner Olszewski,WR,NE,8.95,-184.83,541
Zay Jones,WR,LV,8.83,-184.95,542
Dazz Newsome,WR,CHI,8.76,-185.02,543
Jakeem Grant Sr.,WR,MIA,8.75,-185.03,544
Marcus Kemp,WR,KC,6.65,-187.13,545
Devin Funchess,WR,GB,5.8,-187.98,546
Isaac Whitney,WR,ARI,5.71,-188.07,547
Terry Godwin,WR,JAC,5.45,-188.33,548
Justin Watson,WR,TB,5.43,-188.35,549
Brandon Powell,WR,BUF,5.38,-188.4,550
J.J. Arcega-Whiteside,WR,PHI,5.13,-188.65,551
Kawaan Baker,WR,NO,5.08,-188.7,552
Allen Hurns,WR,MIA,4.47,-189.31,553
Braxton Berrios,WR,NYJ,4.42,-189.36,554
Seth Williams,WR,DEN,4.33,-189.45,555
K.J. Hill Jr.,WR,LAC,4.29,-189.49,556
Dezmon Patmon,WR,IND,4.25,-189.53,557.5
Mike Strachan,WR,IND,4.25,-189.53,557.5
Equanimeous St. Brown,WR,GB,4.21,-189.57,559
Travis Benjamin,WR,SF,4.13,-189.65,560
Racey McMath,WR,TEN,4.03,-189.75,561
Malik Taylor,WR,GB,3.78,-190,562
Isaiah Ford,WR,MIA,3.7,-190.08,563
Malcolm Perry,WR,MIA,3.35,-190.43,564
Brandon Zylstra,WR,CAR,3.32,-190.46,565
Kendall Hinton,WR,DEN,2.95,-190.83,566
Drew Lock,QB,DEN,112.51,-191.148,567
Trey Quinn,WR,LV,2.43,-191.35,568
Matt Cole,WR,NYG,2.28,-191.5,569
Joe Reed,WR,LAC,2.22,-191.56,570
Damion Ratley,WR,DET,2.16,-191.62,571
Antonio Callaway,WR,KC,2.01,-191.77,572
DeMichael Harris,WR,IND,1.98,-191.8,573
Malik Turner,WR,DAL,1.96,-191.82,574
DeAndre Carter,WR,WAS,1.94,-191.84,575
Vyncint Smith,WR,NYJ,1.91,-191.87,576
Gehrig Dieter,WR,KC,1.87,-191.91,577
Kelvin Harmon,WR,WAS,1.86,-191.92,578.5
Isaiah Wright,WR,WAS,1.86,-191.92,578.5
Nsimba Webster,WR,SF,1.85,-191.93,580.5
Darrius Shepherd,WR,KC,1.85,-191.93,580.5
Josh Malone,WR,NYJ,1.84,-191.94,582
Chris Rowland,WR,ATL,1.83,-191.95,583.5
Jeff Badet,WR,ATL,1.83,-191.95,583.5
Chad Hansen,WR,DET,1.82,-191.96,585
Cyril Grayson Jr.,WR,TB,1.8,-191.98,586
Jason Moore,WR,LAC,1.75,-192.03,587
Keelan Doss,WR,LV,1.73,-192.05,588
Trenton Irwin,WR,CIN,1.72,-192.06,589.5
Tanner Gentry,WR,BUF,1.72,-192.06,589.5
Stanley Morgan Jr.,WR,CIN,1.7,-192.08,592.5
Darvin Kidsy,WR,SEA,1.7,-192.08,592.5
Lawrence Cager,WR,NYJ,1.7,-192.08,592.5
John Ursua,WR,SEA,1.7,-192.08,592.5
Chad Williams,WR,KC,1.68,-192.1,595.5
John Hightower,WR,PHI,1.68,-192.1,595.5
Laquon Treadwell,WR,JAC,1.64,-192.14,597.5
Jake Lampman,WR,NO,1.64,-192.14,597.5
Marcell Ateman,WR,LV,1.61,-192.17,599
Mack Hollins,WR,MIA,1.6,-192.18,600
Marvin Hall,WR,NE,1.59,-192.19,601
KhaDarel Hodge,WR,CLE,1.58,-192.2,602
Robert Foster,WR,MIA,1.57,-192.21,604
Dan Chisena,WR,MIN,1.57,-192.21,604
K.J. Osborn,WR,MIN,1.57,-192.21,604
Derrick Willies,WR,CLE,1.56,-192.22,606
Alexander Hollins,WR,CLE,1.55,-192.23,607
Dante Pettis,WR,NYG,1.54,-192.24,608.5
Ja'Marcus Bradley,WR,CLE,1.54,-192.24,608.5
JoJo Natson,WR,CLE,1.53,-192.25,611
Ashton Dulin,WR,IND,1.53,-192.25,611
River Cracraft,WR,SF,1.53,-192.25,611
Ryan Switzer,WR,CLE,1.51,-192.27,613
Tyrie Cleveland,WR,DEN,1.5,-192.28,616
Cody Hollister,WR,TEN,1.5,-192.28,616
Kevin White,WR,SF,1.5,-192.28,616
Fred Brown,WR,TEN,1.5,-192.28,616
Justin Hardy,WR,CHI,1.5,-192.28,616
C.J. Board,WR,NYG,1.47,-192.31,619
Keith Kirkwood,WR,CAR,1.46,-192.32,620.5
Jordan Matthews,WR,SF,1.46,-192.32,620.5
0,WR,0,0,-193.78,622.5
0,WR,0,0,-193.78,622.5
Mac Jones,QB,NE,94.52,-209.138,624
Jimmy Garoppolo,QB,SF,78.528,-225.13,625
Davis Mills,QB,HOU,78.09,-225.568,626
Andy Dalton,QB,CHI,57.176,-246.482,627
Jacob Eason,QB,IND,47.054,-256.604,628
Taylor Heinicke,QB,WAS,16.364,-287.294,629
Kyle Trask,QB,TB,16.152,-287.506,630
Jeff Driskel,QB,HOU,15.966,-287.692,631
Mason Rudolph,QB,PIT,14.672,-288.986,632
Jacoby Brissett,QB,MIA,14.494,-289.164,633
Phillip Walker,QB,CAR,13.702,-289.956,634
James Morgan,QB,NYJ,11.588,-292.07,635
Joe Flacco,QB,PHI,10.896,-292.762,636
Kellen Mond,QB,MIN,10.85,-292.808,637
Marcus Mariota,QB,LV,10.672,-292.986,638
Sam Ehlinger,QB,IND,9.86,-293.798,639
Tim Boyle,QB,DET,9.77,-293.888,640
Gardner Minshew II,QB,JAC,9.762,-293.896,641
Mitchell Trubisky,QB,BUF,9.5,-294.158,642
Chad Henne,QB,KC,8.856,-294.802,643
Trace McSorley,QB,BAL,8.632,-295.026,644
John Wolford,QB,LAR,8.346,-295.312,645
Garrett Gilbert,QB,DAL,7.74,-295.918,646
Geno Smith,QB,SEA,7.722,-295.936,647
Brandon Allen,QB,CIN,7.446,-296.212,648
Jordan Love,QB,GB,7.406,-296.252,649
Ian Book,QB,NO,7.12,-296.538,650
Chase Daniel,QB,LAC,7.016,-296.642,651
Chris Streveler,QB,ARI,6.49,-297.168,652
Tyler Huntley,QB,BAL,6.3,-297.358,653
Blaine Gabbert,QB,TB,6.13,-297.528,654
Mike Glennon,QB,NYG,5.948,-297.71,655
Matt Barkley,QB,TEN,5.872,-297.786,656
AJ McCarron,QB,ATL,5.868,-297.79,657
David Blough,QB,DET,5.266,-298.392,658
Colt McCoy,QB,ARI,5.18,-298.478,659
Dwayne Haskins,QB,PIT,4.88,-298.778,660
Logan Woodside,QB,TEN,4.5,-299.158,661
Case Keenum,QB,CLE,4.448,-299.21,662
Jarrett Stidham,QB,NE,3.2,-300.458,663
Nick Mullens,QB,PHI,2.2,-301.458,664
0,QB,0,0,-303.658,675.5
0,QB,0,0,-303.658,675.5
Nate Sudfeld,QB,SF,0,-303.658,675.5
C.J. Beathard,QB,JAC,0,-303.658,675.5
Ryan Griffin,QB,TB,0,-303.658,675.5
Easton Stick,QB,LAC,0,-303.658,675.5
Joshua Dobbs,QB,PIT,0,-303.658,675.5
Nick Foles,QB,CHI,0,-303.658,675.5
Brett Rypien,QB,DEN,0,-303.658,675.5
Josh Johnson,QB,NYJ,0,-303.658,675.5
Will Grier,QB,CAR,0,-303.658,675.5
Kyle Allen,QB,WAS,0,-303.658,675.5
Devlin Hodges,QB,LAR,0,-303.658,675.5
Kyle Lauletta,QB,CLE,0,-303.658,675.5
Trevor Siemian,QB,NO,0,-303.658,675.5
Ben DiNucci,QB,DAL,0,-303.658,675.5
Josh Rosen,QB,SF,0,-303.658,675.5
Sean Mannion,QB,SEA,0,-303.658,675.5
Jake Luton,QB,JAC,0,-303.658,675.5
Cooper Rush,QB,DAL,0,-303.658,675.5
Brett Hundley,QB,IND,0,-303.658,675.5
Nathan Peterman,QB,LV,0,-303.658,675.5
