Player,POS,Team,FantasyPoints,VOR,VOR Rank
Jonnu Smith,TE,NE,134.72,-20.6,125
Marvin Jones Jr.,WR,JAC,172.04,-21.74,126
Jared Cook,TE,LAC,132.99,-22.33,127
Blake Jarwin,TE,DAL,132.17,-23.15,128
AJ Dillon,RB,GB,118.11,-23.62,129
Adam Trautman,TE,NO,131.23,-24.09,130
Rob Gronkowski,TE,TB,130.23,-25.09,131
Darnell Mooney,WR,CHI,168.57,-25.21,132
Antonio Brown,WR,TB,166.13,-27.65,133
Trevor Lawrence,QB,JAC,275.888,-27.77,134
Kirk Cousins,QB,MIN,275.12,-28.538,135
Anthony Firkser,TE,TEN,125.46,-29.86,136
Tarik Cohen,RB,CHI,111.6,-30.13,137
Matt Ryan,QB,ATL,273.104,-30.554,138
Cole Beasley,WR,BUF,163.09,-30.69,139
Russell Gage,WR,ATL,163.05,-30.73,140
Austin Hooper,TE,CLE,122.51,-32.81,141
Mecole Hardman,WR,KC,160.19,-33.59,142
Jaylen Waddle,WR,MIA,159.91,-33.87,143
Baker Mayfield,QB,CLE,267.942,-35.716,144
Michael Pittman Jr.,WR,IND,157.89,-35.89,145
Derek Carr,QB,LV,267.254,-36.404,146
Tua Tagovailoa,QB,MIA,266.882,-36.776,147
Emmanuel Sanders,WR,BUF,156.88,-36.9,148
Breshad Perriman,WR,DET,155.57,-38.21,149
Zach Ertz,TE,PHI,116.44,-38.88,150
Cole Kmet,TE,CHI,116.35,-38.97,151
Tevin Coleman,RB,NYJ,102.23,-39.5,152
Tyrell Williams,WR,DET,153.67,-40.11,153
Alexander Mattison,RB,MIN,99.82,-41.91,154
Ryan Fitzpatrick,QB,WAS,261.384,-42.274,155
Giovani Bernard,RB,TB,99.35,-42.38,156
Henry Ruggs III,WR,LV,151.06,-42.72,157
Ben Roethlisberger,QB,PIT,260.262,-43.396,158
Jalen Reagor,WR,PHI,149.95,-43.83,159
Phillip Lindsay,RB,HOU,97.42,-44.31,160
Nelson Agholor,WR,NE,148.84,-44.94,161
Sterling Shepard,WR,NYG,146.57,-47.21,162
Elijah Moore,WR,NYJ,146.32,-47.46,163
Gerald Everett,TE,SEA,107.32,-48,164
Jordan Akins,TE,HOU,107.31,-48.01,165
Darrel Williams,RB,KC,90.51,-51.22,166
